"score" "purch_amount" "memb_duration" "age" "store"
4.34 184.92 25 13 "Store I"
2.9 167.96 21 25 "Store L"
3.19 131.1 20 50 "Store C"
1.32 -4.65 5 40 "Store J"
5.88 289.77 30 34 "Store O"
3.03 179.67 15 30 "Store G"
5.64 271.73 28 39 "Store N"
3.97 178.04 19 32 "Store F"
3.78 190.31 8 32 "Store T"
3.49 136.67 21 21 "Store K"
6.19 334.18 36 35 "Store I"
3.83 187.36 12 38 "Store I"
1.25 45.76 8 50 "Store G"
3.47 117.29 14 20 "Store I"
3.8 198.36 21 38 "Store Q"
3.69 162.42 17 29 "Store O"
2.64 92.77 12 26 "Store Q"
1.99 105.26 10 20 "Store M"
4.32 280.51 18 25 "Store M"
3.46 163.39 13 51 "Store P"
2.31 103.22 10 35 "Store M"
5.56 289.03 32 60 "Store N"
5.01 291.56 29 19 "Store K"
1.96 61.46 8 36 "Store F"
3.67 105.64 14 26 "Store T"
6.52 346.56 37 28 "Store C"
4.37 215.87 25 38 "Store D"
4.63 196.1 18 40 "Store I"
3.28 158.25 19 22 "Store L"
5.24 299.02 26 28 "Store J"
1.99 70.38 11 29 "Store K"
4.57 224.55 23 36 "Store O"
5.66 317.13 29 29 "Store N"
4.31 225.64 19 35 "Store H"
3.44 187.25 21 28 "Store P"
4.68 240.63 20 56 "Store H"
3.01 69.03 2 33 "Store S"
4.94 240.26 20 21 "Store I"
3.86 213.02 13 48 "Store J"
5.05 286.86 38 28 "Store P"
5.6 266.03 28 45 "Store T"
7.85 396.88 47 44 "Store J"
3.73 200.71 20 36 "Store O"
6.83 372.12 37 24 "Store J"
5.07 236.54 16 31 "Store D"
4.28 198.07 25 41 "Store J"
2.7 166.43 18 24 "Store P"
1.71 59.1 2 25 "Store A"
6.3 309.87 31 31 "Store D"
2.86 180.37 11 36 "Store O"
3.38 197.2 18 25 "Store H"
4.38 206.51 15 42 "Store H"
4.87 150.57 15 33 "Store F"
2.54 167.66 17 39 "Store R"
3.62 176.97 13 44 "Store S"
4.97 199.05 12 19 "Store I"
7.06 339.34 34 28 "Store F"
3.3 207.29 18 32 "Store G"
2.64 119.46 25 42 "Store E"
6.81 339.26 32 48 "Store O"
7.62 385.43 33 38 "Store C"
3.59 142.36 17 35 "Store A"
2.53 121.71 4 24 "Store Q"
1.29 50.03 7 42 "Store F"
4.94 260.3 18 51 "Store M"
4.74 264.69 26 29 "Store S"
2.81 158.96 16 35 "Store G"
2.59 136.68 14 36 "Store L"
4.01 166.15 20 34 "Store I"
5.49 238.88 23 47 "Store Q"
4.62 216.41 19 30 "Store F"
6.15 350.34 30 35 "Store S"
3.48 166.07 5 18 "Store A"
5.34 283.18 40 27 "Store N"
3.77 224.33 22 28 "Store E"
4.49 235.54 15 46 "Store H"
5.22 225.98 28 10 "Store T"
4.69 230.52 13 24 "Store L"
4.71 194.17 18 15 "Store T"
2.36 22.89 7 35 "Store T"
1.88 104.06 8 59 "Store J"
2.94 127.23 11 46 "Store A"
4.26 283.96 29 24 "Store E"
3.6 235.95 24 24 "Store E"
4.48 164.3 17 44 "Store C"
4.93 254.34 26 24 "Store S"
3.11 155.34 16 44 "Store E"
3.54 169.3 13 52 "Store L"
5.86 263.5 31 17 "Store T"
4.06 251.35 24 34 "Store A"
3.85 219.84 25 40 "Store P"
6.61 387.53 38 30 "Store H"
6.57 334.03 29 49 "Store I"
4.27 180.62 20 20 "Store I"
4.34 197.91 20 27 "Store H"
6.43 338.31 34 23 "Store D"
4.52 226.68 19 45 "Store C"
2.81 152.85 18 42 "Store S"
6.35 320.78 32 27 "Store H"
5.34 268.95 22 33 "Store J"
1.96 93.7 10 45 "Store M"
3.54 157.73 16 33 "Store K"
5.03 234.49 27 20 "Store G"
2.54 120.04 17 39 "Store C"
2.86 145.97 16 25 "Store Q"
1.99 115.81 10 22 "Store R"
3.39 217.82 16 54 "Store H"
4.75 249.67 25 17 "Store A"
3.53 210.29 18 25 "Store R"
5.06 292.83 36 36 "Store N"
6.03 380.49 44 60 "Store G"
3.8 225.67 33 21 "Store H"
0.84 51.35 6 31 "Store H"
3.08 172.62 28 34 "Store K"
4.46 233.02 22 49 "Store M"
4.61 246.07 19 16 "Store O"
5.55 272.8 35 34 "Store T"
4.37 233.77 13 27 "Store P"
4.01 223.8 30 27 "Store N"
3.32 153.41 13 37 "Store T"
4.64 254.6 14 27 "Store N"
3.55 142.21 16 24 "Store I"
3.36 232.63 18 57 "Store M"
7.41 341.57 35 25 "Store J"
5.31 256.36 21 30 "Store O"
2.64 109.57 5 45 "Store B"
1.81 66.69 14 23 "Store D"
6.78 361.12 37 12 "Store A"
3.01 122.27 13 29 "Store O"
6.5 372.54 38 45 "Store D"
5.21 223.21 20 53 "Store J"
3.54 224.03 23 21 "Store S"
1.39 43.32 3 37 "Store T"
1.85 31.78 11 20 "Store I"
4.22 203.86 22 44 "Store C"
2.03 103.09 9 30 "Store D"
5.5 239.02 29 45 "Store J"
4.09 221.2 28 60 "Store B"
5.97 316.4 25 31 "Store E"
3.03 129.59 4 47 "Store K"
4.95 270.06 25 19 "Store N"
4.8 248.07 21 26 "Store K"
1.08 85.93 7 27 "Store P"
6.57 327.3 34 40 "Store F"
2.09 101.97 8 41 "Store G"
3.27 161.44 22 29 "Store D"
4.52 218.59 14 36 "Store F"
6.16 337.82 38 33 "Store I"
1.67 98.41 7 37 "Store P"
2.3 158.54 18 31 "Store R"
1.65 69.39 17 36 "Store G"
5.19 341.99 34 38 "Store M"
3.96 151.77 10 29 "Store Q"
3.95 217.21 30 42 "Store C"
5.73 249.47 27 8 "Store D"
5.15 316.94 36 49 "Store O"
7.47 405.46 44 36 "Store P"
3.68 199.24 13 25 "Store B"
1.32 57.91 1 31 "Store S"
6.45 363.18 39 36 "Store E"
-0.37 -76.43 11 23 "Store S"
2.09 70.4 13 38 "Store G"
5.54 264.03 21 50 "Store F"
4.94 198.75 21 22 "Store D"
6.9 324.1 36 17 "Store C"
1.99 115.02 12 48 "Store T"
4.47 227.59 29 43 "Store H"
1.55 54.36 3 34 "Store S"
4.67 232.54 29 52 "Store R"
4.21 215.96 31 49 "Store I"
4.93 282.07 29 17 "Store R"
3.76 200.46 19 40 "Store G"
3.68 138.4 15 39 "Store J"
3.48 187.4 8 36 "Store L"
2.39 110.2 15 28 "Store K"
4.75 242.64 31 32 "Store K"
4.98 270.04 26 37 "Store K"
1.92 124.35 7 52 "Store J"
3.57 194.63 19 41 "Store L"
5.56 291.33 28 23 "Store A"
1.95 124.33 18 36 "Store L"
3.22 140.67 15 44 "Store H"
5.06 233.66 19 13 "Store M"
4.36 192.58 18 35 "Store C"
3.51 230.05 14 45 "Store N"
2.46 84.96 15 27 "Store A"
2.39 104.11 7 31 "Store S"
3.59 186.06 16 32 "Store M"
4.69 282.69 27 33 "Store H"
5.07 251.32 28 29 "Store C"
6.52 367.63 42 44 "Store L"
2.86 110.67 12 47 "Store K"
3.42 172.27 6 32 "Store M"
1.34 80.1 8 20 "Store S"
