"motivation" "relaxation" "classical" "upbeat"
32.7 43.4 TRUE FALSE
64.3 16.7 TRUE TRUE
23.4 54.8 TRUE FALSE
87.8 41.9 FALSE TRUE
12 40.8 FALSE FALSE
52.2 0 FALSE TRUE
14.8 36.3 FALSE FALSE
56.9 40.6 FALSE FALSE
42.3 67.1 TRUE TRUE
83.9 44.9 TRUE TRUE
26.1 61.5 TRUE FALSE
35.4 58.4 FALSE FALSE
52.9 50.6 FALSE FALSE
44.9 40.6 FALSE FALSE
65 45.2 FALSE TRUE
43.9 16.5 FALSE TRUE
10.8 62.5 TRUE FALSE
1.4 15.4 TRUE FALSE
73.1 25.9 FALSE TRUE
61.1 45.3 TRUE TRUE
17.3 40.2 TRUE FALSE
19.5 12.3 TRUE FALSE
85.4 46.6 FALSE TRUE
44.2 25.6 FALSE TRUE
