"x" "y" "price" "cloudy" "rainy" "sales"
"80" 511071.55 5030711.99 8.3 TRUE TRUE 7.4
"81" 517363.69 5035745.7 8 TRUE FALSE 3.9
"82" 517543.46 5034397.38 9.3 TRUE TRUE 7.1
"83" 513947.96 5037903 8.4 FALSE FALSE 1.5
"84" 511700.76 5035476.03 13.4 FALSE FALSE 2.7
"85" 518082.79 5035296.26 6.7 TRUE TRUE 7.9
"86" 514217.62 5037453.56 10.1 FALSE FALSE 2.6
"87" 516374.92 5032689.52 6.7 FALSE FALSE 4.1
"88" 516285.03 5034397.38 8.8 FALSE FALSE 4.4
"89" 512419.87 5036554.69 7.1 TRUE FALSE 3.6
"90" 513947.96 5037363.67 7.1 TRUE FALSE 3.7
"91" 510981.66 5031251.31 10.1 TRUE FALSE 5.3
"92" 517183.91 5037004.12 10.2 FALSE FALSE 2.3
"93" 511071.55 5035386.15 11.7 TRUE FALSE 3.4
"94" 516554.7 5032599.63 8 TRUE FALSE 5.5
"95" 510712 5034936.71 8.1 TRUE FALSE 2.9
"96" 514037.84 5031700.75 7.3 TRUE TRUE 7.1
"97" 514846.83 5033498.51 8.1 TRUE TRUE 6.3
"98" 517903.01 5035206.37 9 TRUE FALSE 5.3
"99" 512959.19 5034577.16 9.6 FALSE FALSE 1.6
"100" 516554.7 5032060.3 9.8 TRUE FALSE 4.8
