"x" "y" "temp" "sales" "central" "optional"
"35" 515925.08 5037813.11 28.4642128623632 731.79 FALSE TRUE
"36" 517992.5 5034217.61 29.9397861157115 768.28 FALSE TRUE
"37" 516464.41 5037363.67 30.1780470745208 774.61 FALSE TRUE
"38" 514666.66 5035565.92 34.095082604395 902.01 TRUE TRUE
"39" 513498.12 5034127.72 29.1801949844514 779.14 TRUE TRUE
"40" 516554.3 5036374.91 34.944552098609 893.6 FALSE TRUE
"41" 515026.21 5036644.57 30.7346990011501 788.52 FALSE TRUE
"42" 511970.03 5035026.6 28.4775517162134 732.34 FALSE TRUE
"43" 513498.12 5035565.92 29.4365931326685 785.45 TRUE TRUE
"44" 515116.09 5036105.25 33.2056469940557 879.79 TRUE TRUE
"45" 515116.09 5037903 28.3248897548605 728.26 FALSE TRUE
"46" 513498.12 5031520.98 27.8369416087979 715.76 FALSE TRUE
"47" 517453.17 5037903 32.2129034408803 825.32 FALSE TRUE
"48" 516374.52 5035206.37 30.6567473013926 786.8 FALSE TRUE
"49" 518531.82 5031520.98 26.329550918843 677.98 FALSE TRUE
"50" 510981.26 5030262.55 30.03204274724 770.73 FALSE TRUE
"51" 513048.68 5031341.2 32.4946313500913 832.17 FALSE TRUE
"52" 511880.14 5029903 29.2109113880091 780.77 TRUE TRUE
"53" 514576.77 5031071.54 30.952219742976 794.11 FALSE TRUE
"54" 514127.33 5033947.94 30.0633758708281 771.4 FALSE TRUE
"55" 514217.22 5034037.83 28.7415939025733 738.33 FALSE TRUE
"56" 517812.72 5037094.01 30.5239215516083 783.26 FALSE TRUE
"57" 516104.86 5035386.15 25.3779161032139 654.72 FALSE TRUE
"58" 516554.3 5033049.07 29.6791313286013 761.9 FALSE TRUE
"59" 517632.95 5033049.07 29.185719689966 749.85 FALSE TRUE
"60" 514037.44 5034217.61 29.831680353884 765.52 FALSE TRUE
"61" 517183.51 5034217.61 31.9677681699734 819.02 FALSE TRUE
"62" 517273.4 5033049.07 25.6214340445085 660.6 FALSE TRUE
"63" 511520.59 5032329.97 28.041324043916 721.39 FALSE TRUE
"64" 514127.33 5034846.82 30.8676450665498 821.11 TRUE TRUE
"65" 516823.96 5037723.22 30.0912928749192 772.12 FALSE TRUE
"66" 515116.09 5035116.48 27.628954903269 710.59 FALSE TRUE
"67" 515205.98 5029903 31.7744600694132 843.98 TRUE TRUE
"68" 518352.05 5030711.99 31.8570470814764 816.57 FALSE TRUE
"69" 515385.76 5030711.99 33.7438857233831 863.7 FALSE TRUE
"70" 516644.18 5031790.64 30.2692316825188 806.42 TRUE TRUE
"71" 513767.78 5034846.82 26.6149742268439 714.72 TRUE TRUE
"72" 510891.38 5031700.75 26.9638943414715 694.29 FALSE TRUE
"73" 512868.9 5037543.45 31.3077489166486 802.85 FALSE TRUE
"74" 512509.35 5037453.56 28.387321597015 729.99 FALSE TRUE
"75" 518172.27 5034217.61 27.5586164997805 708.69 FALSE TRUE
"76" 515475.64 5037633.34 30.2433064744411 776.38 FALSE TRUE
"77" 512329.58 5036734.46 29.579276459399 759.71 FALSE TRUE
"78" 517003.73 5037813.11 28.6728646905169 736.69 FALSE TRUE
"79" 515205.98 5036285.02 28.7013303190948 737.56 FALSE TRUE
"80" 514666.66 5031790.64 29.7884267478559 764.86 FALSE TRUE
"81" 516644.18 5036824.35 31.273857199779 801.77 FALSE TRUE
"82" 511880.14 5029992.89 25.3052521117744 683.04 TRUE TRUE
"83" 515655.42 5032509.74 31.4509751731984 835.87 TRUE TRUE
"84" 516104.86 5033228.84 27.5925670413136 739.5 TRUE TRUE
"85" 511790.25 5037273.79 32.2235231862122 825.62 FALSE TRUE
"86" 513588 5034487.27 30.920064426588 792.75 FALSE TRUE
"87" 513318.34 5033498.51 26.9428792002102 723.15 TRUE TRUE
"88" 517992.5 5033678.28 25.4475726508454 656.35 FALSE TRUE
"89" 515925.08 5031970.42 27.9150062854864 717.85 FALSE TRUE
"90" 513677.89 5033318.73 31.0930564036089 797.07 FALSE TRUE
"91" 517812.72 5034756.93 27.996046513429 719.69 FALSE TRUE
"92" 512329.58 5030981.65 30.6983353280206 787.56 FALSE TRUE
