"stress" "happiness" "meditation" "exercise"
89.3 67 FALSE TRUE
28.2 45.4 TRUE FALSE
49.1 49.1 TRUE TRUE
26.8 7.1 FALSE TRUE
59 74.4 FALSE TRUE
36.8 14.4 FALSE FALSE
59.4 80.2 TRUE TRUE
49 41.6 FALSE TRUE
52.3 61.9 TRUE FALSE
28.8 54.1 TRUE TRUE
28.8 46.5 TRUE FALSE
78 43.8 FALSE FALSE
48.9 51.7 TRUE FALSE
28.8 65.6 TRUE TRUE
55.2 68.2 TRUE TRUE
48.2 57.4 TRUE TRUE
40.7 69.8 TRUE TRUE
48 24.9 FALSE FALSE
41.4 59.4 FALSE TRUE
46.3 51.4 TRUE TRUE
44.6 58.7 FALSE FALSE
43.5 31.8 TRUE FALSE
30.8 19.8 FALSE FALSE
26.2 63.9 TRUE TRUE
81.5 57.5 FALSE TRUE
41.1 40.8 FALSE TRUE
46.3 16.3 FALSE FALSE
36.5 52.1 TRUE FALSE
47 50.3 FALSE FALSE
69.3 40 FALSE FALSE
99.7 68.6 FALSE TRUE
56.5 16.7 FALSE FALSE
55.2 65 TRUE FALSE
63.1 53.9 TRUE FALSE
86.5 42.8 FALSE FALSE
54.8 44.3 FALSE TRUE
46.5 42.8 TRUE TRUE
43.3 33.7 TRUE FALSE
39.8 23.1 TRUE FALSE
17.3 19.4 TRUE FALSE
24.5 14.8 TRUE TRUE
45.8 29.5 TRUE FALSE
84.2 61.4 FALSE FALSE
83.7 45.4 FALSE TRUE
45.9 64.6 FALSE FALSE
58.4 29.3 FALSE FALSE
46.9 42.2 FALSE FALSE
51.6 74.9 TRUE TRUE
37.6 40.5 FALSE TRUE
55 79.3 TRUE FALSE
45.1 40 FALSE TRUE
47.5 52.8 TRUE FALSE
79.5 60.6 FALSE TRUE
11.9 7.3 FALSE FALSE
28.7 30 TRUE TRUE
64.3 75.3 FALSE TRUE
0 5.3 TRUE FALSE
36.1 65.1 TRUE TRUE
63.1 39.9 FALSE FALSE
54.8 50.7 TRUE TRUE
35.9 18.9 FALSE FALSE
46.5 87.1 TRUE TRUE
37.4 35 TRUE TRUE
37.1 51.2 TRUE TRUE
43.3 33.3 FALSE TRUE
31.8 45.2 FALSE TRUE
27 39 TRUE FALSE
58.2 16.1 FALSE FALSE
63.2 52.4 FALSE TRUE
30.7 46 TRUE TRUE
42.2 41.2 FALSE TRUE
46.8 60.8 TRUE FALSE
38.1 61.7 TRUE TRUE
4.6 0.4 TRUE FALSE
41.9 29.6 TRUE FALSE
52.7 66.9 FALSE TRUE
25.7 40.3 TRUE TRUE
51.6 47.7 TRUE FALSE
57.6 57.3 FALSE TRUE
49.5 38 FALSE FALSE
51.7 32 FALSE FALSE
52.8 54 FALSE TRUE
42.2 34.5 TRUE TRUE
53.3 11.2 FALSE FALSE
48.7 61.8 FALSE FALSE
69.9 46.9 TRUE FALSE
9.5 33.8 TRUE FALSE
29.9 27.3 TRUE FALSE
56.1 56.9 FALSE TRUE
28.9 21.6 TRUE TRUE
41.6 28.3 FALSE FALSE
57.2 55.3 TRUE FALSE
56 20.6 FALSE FALSE
55.9 18.9 FALSE TRUE
54.7 56.8 TRUE FALSE
42.1 38.7 TRUE FALSE
68.2 48.4 FALSE FALSE
0.7 23.2 TRUE TRUE
42.9 74.1 TRUE TRUE
33.8 32.6 FALSE TRUE
47.1 54.2 TRUE TRUE
36 21.5 TRUE FALSE
2.2 53.8 TRUE TRUE
57.8 10.8 FALSE TRUE
70.9 58.2 FALSE TRUE
53.4 38.8 FALSE TRUE
26.9 39.8 TRUE FALSE
49.7 30 FALSE TRUE
51.2 37.9 FALSE FALSE
43.7 24.3 TRUE FALSE
28.7 42.7 FALSE TRUE
21.9 14.7 FALSE FALSE
47.5 74.1 TRUE TRUE
44.8 38.1 FALSE TRUE
59.2 61.7 FALSE FALSE
49.8 43.1 TRUE TRUE
66 17 FALSE FALSE
22.8 29.2 TRUE FALSE
30.8 33.4 FALSE FALSE
50.6 51.6 TRUE TRUE
45.3 37.8 TRUE FALSE
16.7 35.8 TRUE FALSE
81.3 61 FALSE FALSE
18 40.1 FALSE TRUE
25.6 37.6 TRUE TRUE
28.9 55.4 TRUE TRUE
35.6 43.2 TRUE TRUE
32.7 35.6 TRUE TRUE
71.7 85.4 FALSE TRUE
12.3 53.7 TRUE TRUE
50.2 48.8 TRUE TRUE
29.9 50 TRUE TRUE
21.5 20.1 TRUE FALSE
50.8 71.8 TRUE TRUE
30.9 47.5 TRUE TRUE
52.3 51.3 FALSE TRUE
