"chlorophyll" "growth" "auto_watering" "air_purifier"
22.06 -0.96 FALSE TRUE
18.78 1.26 FALSE FALSE
25.15 -0.33 TRUE TRUE
26.03 2.37 FALSE TRUE
22.89 0.53 FALSE FALSE
27.34 1.46 TRUE TRUE
23.23 0.22 TRUE TRUE
26.1 3.34 TRUE TRUE
19.14 2.39 FALSE FALSE
19.14 1.66 FALSE FALSE
23.25 3.5 TRUE FALSE
20.17 0.75 TRUE FALSE
28.12 3.51 FALSE TRUE
23.53 0.04 FALSE TRUE
18.06 2.74 TRUE FALSE
27.98 1.81 TRUE TRUE
18.38 -0.34 FALSE FALSE
20.06 0.89 TRUE FALSE
24.49 -0.94 FALSE TRUE
18.3 1.02 FALSE FALSE
22.39 5.47 TRUE FALSE
26 3.25 FALSE TRUE
24.77 3.07 FALSE TRUE
26.95 2.61 FALSE TRUE
21.27 3.12 FALSE FALSE
23.46 3.04 FALSE TRUE
25.41 2.56 FALSE TRUE
26.52 1.57 FALSE TRUE
21.27 3.79 TRUE FALSE
22.64 3.65 FALSE FALSE
19.44 3.68 FALSE FALSE
24.43 3.8 TRUE TRUE
23.53 0.15 TRUE TRUE
20.91 4.29 FALSE FALSE
28.29 1.78 TRUE TRUE
21.7 -0.2 FALSE TRUE
22.12 1.83 FALSE TRUE
22.61 2.05 FALSE FALSE
21.38 1.73 TRUE FALSE
21.25 -0.08 TRUE FALSE
24.33 1.19 TRUE TRUE
27.17 1.63 TRUE TRUE
22.07 2.55 FALSE FALSE
25.96 1.96 TRUE TRUE
21 3.66 TRUE FALSE
19.67 1.32 TRUE FALSE
25.93 -0.83 TRUE TRUE
21.6 0.45 FALSE TRUE
22.74 3.09 FALSE FALSE
26.08 2.59 TRUE TRUE
23.74 3.11 FALSE TRUE
22.68 3.63 FALSE TRUE
21.24 4.36 TRUE FALSE
23.51 0.33 TRUE TRUE
18.55 2.37 TRUE FALSE
18.01 1.17 TRUE FALSE
25.13 1.97 TRUE TRUE
19.87 2.18 FALSE FALSE
21.36 2.5 TRUE FALSE
28.31 2.84 TRUE TRUE
23.4 3.93 TRUE FALSE
20.81 2.17 FALSE FALSE
24.74 0.63 TRUE TRUE
25.17 0.89 TRUE TRUE
27.52 0.74 TRUE TRUE
23.77 0.03 TRUE TRUE
19.99 1.57 TRUE FALSE
17.26 -0.65 FALSE FALSE
20.92 0.78 FALSE FALSE
19.28 0.89 FALSE FALSE
19.43 2.12 FALSE FALSE
20.77 3.35 TRUE FALSE
24.46 3.08 TRUE TRUE
26.38 1.74 TRUE TRUE
23.65 3.81 FALSE TRUE
27.21 1.46 TRUE TRUE
18.89 1.95 TRUE FALSE
25.86 0.22 TRUE TRUE
19.01 4.27 TRUE FALSE
28.07 4.64 FALSE TRUE
23.07 2.65 FALSE TRUE
21.86 1.99 FALSE TRUE
24.35 -0.01 TRUE TRUE
19.77 -0.09 TRUE FALSE
26.5 4.51 FALSE TRUE
24.67 2.27 FALSE TRUE
24.22 2.63 FALSE TRUE
23.02 3.7 FALSE FALSE
23.79 2.14 FALSE FALSE
23.88 2.86 TRUE FALSE
18.87 0.31 FALSE FALSE
16.57 1.67 FALSE FALSE
19.81 1.87 FALSE FALSE
22.54 0.56 FALSE TRUE
25.71 0.75 TRUE TRUE
18.43 1.01 FALSE FALSE
20.83 2.65 TRUE FALSE
21.27 4.09 FALSE FALSE
26.7 6.41 FALSE TRUE
20.87 0.8 FALSE FALSE
20.9 0.04 TRUE FALSE
21.89 1.44 FALSE TRUE
26.34 0.95 FALSE TRUE
19.97 0.64 TRUE FALSE
28.1 2.53 FALSE TRUE
19.66 2.61 FALSE FALSE
21.52 3.21 FALSE FALSE
20 -0.8 FALSE TRUE
20.95 2.13 TRUE FALSE
20.14 1.92 TRUE FALSE
25.03 3.59 TRUE TRUE
23.83 -0.76 FALSE TRUE
21.6 2.56 FALSE TRUE
18.81 -0.21 TRUE FALSE
22.96 1.92 FALSE TRUE
26.5 5.99 FALSE TRUE
21.31 3.15 FALSE FALSE
18.99 3.51 TRUE FALSE
21.21 0.65 TRUE FALSE
26.33 -0.43 TRUE TRUE
22.71 0.12 FALSE TRUE
27.49 5.49 TRUE TRUE
20.24 4.27 TRUE FALSE
19.73 0.66 FALSE FALSE
23.09 0.76 TRUE FALSE
20.94 0.49 TRUE FALSE
25.99 2.56 TRUE TRUE
24.7 3.11 TRUE FALSE
23.93 0.17 TRUE TRUE
20.11 2.5 TRUE FALSE
21.43 1.32 FALSE TRUE
22.64 0.84 TRUE TRUE
18.55 3.4 FALSE FALSE
19.79 2.14 FALSE FALSE
