"mood" "plants" "light" "social" "zone_id"
"53" 6.15 4 12.83 10.2 "1"
"54" 5.71 4 10.13 9.25 "1"
"55" 6.58 6 8.52 8.52 "1"
"56" 4.39 7 14.24 7.89 "1"
"57" 3.84 0 14.42 9.8 "1"
"58" 2.96 1 10.8 8.27 "1"
"59" 3.78 1 11.67 11.58 "1"
"60" 4.85 2 16.73 7.28 "1"
"61" 5.27 2 12.65 7.05 "1"
"62" 3.43 1 9.33 7.72 "1"
"63" 4.55 3 13.55 11.11 "1"
"64" 4.74 1 11.79 6.89 "1"
"65" 2.56 0 10.16 8.44 "1"
"66" 5.4 4 13.12 7.38 "1"
"67" 4.06 4 13.57 5.32 "1"
"68" 4.05 0 11.86 7.11 "1"
"69" 2.58 2 11.12 7.3 "1"
"70" 4.05 7 11.48 10.68 "1"
"71" 5.59 7 11.88 11.08 "1"
"72" 4.5 3 11.15 5.75 "1"
"73" 1.36 1 12.2 6.7 "1"
"74" 4.42 2 11.15 6.18 "1"
"75" 4.91 0 11.29 6.02 "1"
"76" 3.89 1 9.75 11.41 "1"
"77" 3.52 1 10.06 4.86 "1"
"78" 4 0 9.65 7.28 "1"
"79" 4.76 1 12.93 6.22 "1"
"80" 5.64 17 9.4 8.6 "1"
"81" 4.34 3 16.06 12.47 "1"
"82" 3.85 0 16.19 7.38 "1"
"83" 5.48 1 11.99 8.98 "1"
"84" 5.57 3 10.72 10.18 "1"
"85" 4.07 0 12.82 7.61 "1"
"86" 4.82 15 12.29 4.47 "1"
"87" 6.56 3 15.41 9.29 "1"
"88" 6.42 3 11.06 8.41 "1"
"89" 3.34 2 10.42 7.06 "1"
"90" 4.69 2 12.57 8.02 "1"
"91" 4.57 1 12.8 8.64 "1"
"92" 6.13 1 11.25 9.84 "1"
"93" 2.66 16 6.88 9.43 "1"
"94" 5.75 2 12.24 9.67 "1"
"95" 2.7 2 14.59 10.74 "1"
"96" 5.18 5 11.66 4.58 "1"
"97" 5.66 4 12.04 9.5 "1"
"98" 3.15 1 12.59 5.57 "1"
"99" 5.18 0 12.06 7.19 "1"
"100" 5.11 3 15.94 8.36 "1"
"101" 7.06 2 11.76 7.32 "2"
"102" 6.24 6 12.36 7.09 "2"
"103" 4.08 1 11.16 6.29 "2"
"104" 3.1 5 13.64 9.64 "2"
"105" 4.99 9 15.89 8.02 "2"
"106" 2.6 2 13.63 8.18 "2"
"107" 3.04 4 13.25 7.57 "2"
"108" 4.42 2 11.68 7.13 "2"
"109" 4.26 0 14.33 11.23 "2"
"110" 5.16 1 10.73 10.04 "2"
"111" 3.52 1 10.68 2.85 "2"
"112" 3.97 5 13.55 4.59 "2"
"113" 3.91 0 13.26 4.21 "2"
"114" 7.07 7 9.34 6.64 "2"
"115" 5.98 0 10.9 10.19 "2"
"116" 3.74 1 12.86 5.28 "2"
"117" 5.81 7 11.97 7.04 "2"
"118" 2.04 2 13.3 10.01 "2"
"119" 5.4 10 11.82 9.23 "2"
"120" 4.22 4 13.19 8.47 "2"
"121" 3.85 6 13.73 6.52 "2"
"122" 3.59 1 10.4 6.06 "2"
"123" 3.78 3 12.12 5.27 "2"
"124" 5.41 3 10.81 8.6 "2"
"125" 5.5 2 13.31 5.09 "2"
"126" 4.18 1 11.62 10.28 "2"
"127" 6.74 7 13.25 7.23 "2"
"128" 5.26 0 8.94 6.93 "2"
"129" 5.5 3 15.16 5.45 "2"
"130" 3.85 3 9.2 6.67 "2"
"131" 4.7 0 10.61 9.34 "2"
"132" 4.2 4 12.79 6.62 "2"
"133" 5.58 5 10.94 7.36 "2"
"134" 3.96 2 12.6 10.32 "2"
"135" 7.52 10 9.23 7.36 "2"
"136" 4.91 7 10.55 9.37 "2"
"137" 4.72 0 7.29 7.07 "2"
"138" 7.48 4 12.22 10.61 "2"
"139" 4.38 0 9.44 7.02 "2"
"140" 4.44 2 12.32 6.74 "2"
"141" 3.65 3 11.27 6.21 "2"
"142" 4.28 6 13.83 8.52 "2"
"143" 5.5 1 10.62 8.65 "2"
"144" 3.41 8 11.92 7.16 "2"
"145" 5.27 10 13.09 7.31 "2"
"146" 7.58 1 9.86 9.4 "2"
"147" 3.25 1 11.67 10.35 "2"
"148" 4.28 3 11.07 5.17 "2"
"149" 5.05 2 11.19 6.79 "2"
"150" 5.26 2 14.78 8.88 "2"
"151" 3.62 5 13.53 8.74 "2"
"152" 4.77 4 15.9 7.39 "2"
"153" 5.3 0 12.58 4.92 "2"
"154" 7.13 3 12.06 10.15 "2"
"155" 3.9 5 8.11 8.11 "2"
"156" 1.5 5 16.45 7.13 "2"
"157" 6.15 5 12.1 9.25 "2"
"158" 3.31 0 8.56 6.76 "2"
"159" 7.73 3 13.68 7.35 "2"
"160" 4.51 3 11 9.12 "2"
"161" 4.38 1 12.64 8.75 "2"
"162" 4.78 5 12.53 8.9 "2"
"163" 6.57 2 12.98 9.38 "2"
"164" 4.57 2 9.86 7.8 "2"
"165" 4.81 2 12.67 8 "2"
"166" 3.25 0 9.93 8.64 "2"
"167" 5.84 4 13.56 9.38 "2"
"168" 5.65 3 12.47 7.77 "2"
"169" 4.34 3 12.55 10.09 "2"
"170" 6.28 0 11.7 10.76 "2"
"171" 2.95 2 7.2 10.36 "2"
"172" 3.71 1 8.77 8.78 "2"
"173" 3.98 0 12.45 12.36 "2"
"174" 5.1 1 8.83 4.85 "2"
"175" 5.05 3 10.33 6.88 "2"
"176" 3.77 3 13.71 8.05 "2"
"177" 4.08 3 9.25 7.58 "2"
"178" 4.9 1 13.73 7.77 "2"
"179" 2.89 7 11.56 6.8 "2"
"180" 6.07 9 14.75 8 "2"
"181" 5.58 2 11.93 10.37 "2"
"182" 4.14 10 10.06 8.73 "2"
"183" 3.86 2 12.26 5.47 "2"
"184" 4.89 2 13.16 5.15 "2"
"185" 2.38 1 12.27 10.24 "2"
"186" 4.78 3 9.96 9.26 "2"
"187" 5.48 0 12.95 9.52 "2"
"188" 4.91 11 7.84 9.93 "2"
"189" 7.47 3 12.71 7.86 "2"
"190" 7.64 4 13.34 11.55 "2"
"191" 5.41 9 13.01 7.06 "2"
"192" 5.11 2 14.11 8 "2"
"193" 5.04 2 9.33 3.84 "2"
"194" 2.6 2 7.23 4.37 "2"
"195" 4.36 2 9.74 8.19 "2"
"196" 6.77 1 13.92 10.07 "2"
"197" 7.46 15 11.36 5.2 "2"
"198" 1.94 2 10.9 7.96 "2"
"199" 3.67 1 12.71 10.62 "2"
"200" 3.54 1 11.68 8.22 "2"
"201" 4.12 2 13.24 7.51 "3"
"202" 4.49 2 14.31 10.13 "3"
"203" 4.87 2 10.54 11.23 "3"
"204" 3.95 3 11.73 8.98 "3"
"205" 3.88 10 10.71 3.05 "3"
"206" 2.45 2 10.37 6.02 "3"
"207" 5.41 5 11.18 7.98 "3"
"208" 4.2 13 12.29 8.15 "3"
"209" 4.81 1 13.39 11.13 "3"
"210" 4.96 13 12.84 7.13 "3"
"211" 4.48 2 12.45 8.04 "3"
"212" 3.48 2 13.25 7.24 "3"
"213" 2.58 2 12.94 9.19 "3"
"214" 1.58 4 11.43 7.96 "3"
"215" 6.29 7 12.25 9.99 "3"
"216" 2.71 1 10.82 10.75 "3"
"217" 1.81 5 7.89 10.55 "3"
"218" 3.54 3 15.05 10.67 "3"
"219" 5.28 2 13.96 10.21 "3"
"220" 3.79 2 8.42 5.95 "3"
"221" 2.86 2 9.85 10.08 "3"
"222" 3.73 1 11.3 6.12 "3"
"223" 3.46 1 13.74 8 "3"
"224" 2.03 4 13.4 9.9 "3"
"225" 5.68 2 10.09 12.09 "3"
"226" 2.44 3 11.61 5.97 "3"
"227" 3.6 2 10.94 5.45 "3"
"228" 5.1 1 10.59 5.86 "3"
"229" 3.27 1 13.32 6.79 "3"
"230" 3.99 3 10.59 10.01 "3"
"231" 5.54 1 11.52 7.57 "3"
"232" 3.44 7 10.75 7.3 "3"
"233" 4.01 1 16.66 5.68 "3"
"234" 6.93 3 9.94 9.19 "3"
"235" 4.25 0 13.66 10.87 "3"
"236" 5.98 19 12.36 9 "3"
"237" 4.15 1 14.42 6.85 "3"
"238" 4.87 3 10.78 6.21 "3"
"239" 5 3 13.59 10.75 "3"
"240" 2.87 5 11.91 7.49 "3"
"241" 6.2 5 10.34 8.97 "3"
"242" 4.24 10 11.33 7.92 "3"
"243" 3.71 3 11.87 5.2 "3"
"244" 0.05 0 13.16 7.84 "3"
"245" 4.22 4 10.84 9.55 "3"
"246" 3.21 1 12.42 5.3 "3"
"247" 2.6 2 6.92 3.89 "3"
"248" 2.89 1 12.18 9.3 "3"
"249" 4.05 2 9.13 7.37 "3"
"250" 4.69 1 12.17 8.78 "3"
"251" 4.06 2 13.57 10.58 "3"
"252" 1.64 1 14.98 6.49 "3"
"253" 2.51 7 12.45 5.91 "3"
"254" 3.02 3 14.15 7.13 "3"
"255" 2.16 2 11.71 4.73 "3"
"256" 2.98 0 9.17 8.61 "3"
"257" 4.33 5 13.38 7.69 "3"
"258" 1.34 4 16.22 6.84 "3"
"259" 2.67 6 12.03 5.21 "3"
"260" 1.72 1 11.09 8.62 "3"
"261" 3.69 1 12.31 9.86 "3"
"262" 4.73 0 9.43 6.7 "3"
"263" 2.34 1 8.4 6.34 "3"
"264" 2.59 3 13.74 6.56 "3"
"265" 2.25 4 12.1 7.25 "3"
"266" 3.06 0 8.55 7.31 "3"
"267" 6.23 0 12.65 10.93 "3"
"268" 3.38 1 13.53 9.19 "3"
"269" 3.51 1 9.24 10.65 "3"
"270" 4.5 3 15.84 7.68 "3"
"271" 2.65 1 14.68 8.49 "3"
"272" 5.39 16 14.19 10.18 "3"
"273" 5.9 6 12.04 9.32 "3"
"274" 1.75 2 10.47 2.72 "3"
"275" 3.14 0 10.44 6.75 "3"
"276" 4.09 2 9.58 9.12 "3"
"277" 3.17 12 13.72 7.37 "3"
"278" 4.94 5 11.78 9.95 "3"
"279" 2.43 1 11.07 4.14 "3"
"280" 4.43 5 10.48 9.79 "3"
"281" 3.98 7 15.95 5.04 "3"
"282" 3.15 2 12.67 6.49 "3"
"283" 3.26 4 11.62 9.88 "3"
"284" 4.98 1 15.27 9.35 "3"
"285" 4.31 3 10.27 7.02 "3"
"286" 3.27 1 7.72 6.94 "3"
"287" 2.82 3 13.57 10.32 "3"
"288" 3.87 3 8.98 7.2 "3"
"289" 2.72 1 8.38 4.74 "3"
"290" 3.81 0 11.05 6.41 "3"
"291" 4.37 3 14.06 7.5 "3"
"292" 1.99 1 9.59 7.43 "3"
"293" 4.52 2 15.83 7.77 "3"
"294" 3.84 5 12 10.74 "3"
"295" 4.55 1 11.77 6.76 "3"
"296" 4.02 12 14.88 8.27 "3"
"297" 4.86 10 8.6 7.63 "3"
"298" 7.31 5 12.75 9.03 "3"
"299" 4.71 0 12.56 6.71 "3"
"300" 4.55 2 8.96 7.65 "3"
"301" 4.08 2 9.93 6.7 "4"
"302" 5.92 1 17.98 6.93 "4"
"303" 4.91 1 14.68 3.54 "4"
"304" 10 3 13.17 10.14 "4"
"305" 8 6 10.67 10.75 "4"
"306" 4.42 1 15.04 5.57 "4"
"307" 4.49 1 12.59 7.58 "4"
"308" 6.48 0 8.97 10.59 "4"
"309" 6.8 1 13.14 6.44 "4"
"310" 7.22 6 12.08 9.29 "4"
"311" 5.77 0 11.88 8.31 "4"
"312" 5.52 8 12.56 10.19 "4"
"313" 6.13 0 13.03 6.07 "4"
"314" 5.88 2 12.49 7.75 "4"
"315" 6.8 3 11.25 6.63 "4"
"316" 7.28 7 13.02 7.07 "4"
"317" 3.76 17 13.77 7.42 "4"
"318" 4.58 0 11.96 4.45 "4"
"319" 7.19 0 12.5 9.65 "4"
"320" 7.69 3 12.38 7.26 "4"
"321" 4.92 3 10.99 6.35 "4"
"322" 7.75 1 11.25 11.83 "4"
"323" 4.23 1 12.32 10.88 "4"
"324" 5.23 4 14.02 8.11 "4"
"325" 5.84 2 7.58 6.6 "4"
"326" 5.3 0 9.5 5.45 "4"
"327" 5.64 0 8.81 9.76 "4"
"328" 3.76 3 15.06 6.44 "4"
"329" 6.68 1 11.35 5.74 "4"
"330" 6.5 2 15.5 10.55 "4"
"331" 5.5 0 10 9.75 "4"
"332" 8.77 4 12.84 7.63 "4"
"333" 7.04 1 8.28 11.17 "4"
"334" 7.48 1 13.94 10.39 "4"
"335" 6.34 2 13.42 6.29 "4"
"336" 8.33 2 13.92 9.84 "4"
"337" 7.18 12 11.83 8.66 "4"
"338" 5.56 6 14.11 6.85 "4"
"339" 4.75 9 12.38 11.36 "4"
"340" 3.16 0 10.14 7.76 "4"
"341" 5.88 3 12.34 9.46 "4"
"342" 4.59 2 13.75 8.67 "4"
"343" 3.82 0 12.91 4.41 "4"
"344" 4.76 1 8.79 6.19 "4"
"345" 4.82 2 10.02 5.91 "4"
"346" 4.99 3 10.02 9.44 "4"
"347" 5.03 2 9.51 8.39 "4"
"348" 5.09 5 12.88 7.32 "4"
"349" 7.5 4 10.44 10.56 "4"
"350" 7.77 3 13.13 12.09 "4"
"351" 8.61 2 8.25 11.95 "4"
"352" 5.37 1 14.77 7.72 "4"
"353" 4.51 4 11.59 6.04 "4"
"354" 5.18 5 13.64 6.55 "4"
"355" 6.68 5 11.05 7.95 "4"
"356" 4.12 2 11.83 8.89 "4"
"357" 5.3 5 12.54 5.4 "4"
"358" 5.76 2 11.69 9.24 "4"
"359" 4.54 4 10.58 3.44 "4"
"360" 7.93 4 12.14 10.89 "4"
"361" 4.98 0 11.95 5.98 "4"
"362" 4.63 2 13.4 7.77 "4"
"363" 6.02 4 14.31 8.73 "4"
"364" 7.13 4 14.02 8.37 "4"
"365" 6.94 0 13.65 9.69 "4"
"366" 4.55 0 14.44 6.58 "4"
"367" 4.7 5 11.22 7.53 "4"
"368" 6.27 0 10.36 8.06 "4"
"369" 6.69 6 13.2 7.3 "4"
"370" 4.39 0 11.14 10.26 "4"
"371" 4.42 4 17.43 5.81 "4"
"372" 4.55 1 9.79 9.45 "4"
"373" 4.92 17 10.26 8.05 "4"
"374" 6 3 15.1 8.77 "4"
"375" 3.35 2 9.63 9.95 "4"
"376" 7.8 2 12.08 10.37 "4"
"377" 6.47 6 16.83 6 "4"
"378" 6.11 5 14.64 8.74 "4"
"379" 6.47 1 10.94 10.58 "4"
"380" 7.49 2 11.51 12.55 "4"
"381" 3.66 1 11.64 9.14 "4"
"382" 7.22 1 9.86 8.7 "4"
"383" 5.59 7 9.23 8.47 "4"
"384" 6.05 6 12.32 7.53 "4"
"385" 4.78 0 10.79 7.32 "4"
"386" 5.23 1 12.07 10 "4"
"387" 6.09 2 11.27 6.4 "4"
"388" 5.11 5 6.58 8.7 "4"
"389" 9.16 1 9.86 10.44 "4"
"390" 6.36 3 11.41 4.11 "4"
"391" 5.29 3 13.64 3.99 "4"
"392" 7.39 0 13.76 10.95 "4"
"393" 5.52 2 7.91 2.67 "4"
"394" 4.93 4 14.16 3.37 "4"
"395" 7.63 1 14.36 10.91 "4"
"396" 4.89 1 9.91 4.9 "4"
"397" 1.51 1 12.67 11.63 "4"
"398" 5.61 15 12.48 7.18 "4"
"399" 6.47 0 13.14 8.1 "4"
"400" 7.3 3 13.79 6.14 "4"
"401" 6.89 0 14.51 9.28 "5"
"402" 8.22 6 12.69 8.11 "5"
"403" 5.5 4 13.58 4.78 "5"
"404" 5.04 1 15.66 6.03 "5"
"405" 7.66 3 13.93 11.25 "5"
"406" 6.25 5 13.58 10.38 "5"
"407" 5.04 2 16.26 2.78 "5"
"408" 5.08 1 10.6 7.36 "5"
"409" 6.58 2 13.37 3.46 "5"
"410" 5.05 0 18.28 8.23 "5"
"411" 5.08 6 10.49 7.48 "5"
"412" 3.62 6 12.73 8.18 "5"
"413" 6.25 5 8.73 8.09 "5"
"414" 5.9 1 13.74 10.85 "5"
"415" 6.85 2 10.62 7.15 "5"
"416" 8.22 1 12.47 9.27 "5"
"417" 4.13 3 14.7 8.48 "5"
"418" 4.27 11 9.82 9.67 "5"
"419" 5.16 0 9.99 8.54 "5"
"420" 5.83 13 13.94 5.1 "5"
"421" 4.69 1 11 9.5 "5"
"422" 2.79 1 11.54 6.8 "5"
"423" 8.02 7 11.02 7.34 "5"
"424" 5.56 1 10.51 9.09 "5"
"425" 7.98 2 13.3 9.19 "5"
"426" 6.32 3 14.09 6.41 "5"
"427" 5.43 1 11.61 6.74 "5"
"428" 5.55 7 12.67 1.95 "5"
"429" 5.69 0 9.07 9.98 "5"
"430" 7.51 8 14.47 7.86 "5"
"431" 4.7 17 12.17 7.61 "5"
"432" 5.24 1 10.75 6.58 "5"
"433" 6.31 6 13.29 10.04 "5"
"434" 7.02 8 14.95 8.95 "5"
"435" 4.89 4 13.29 5.67 "5"
"436" 7.61 0 12.08 9.23 "5"
"437" 4.59 4 13.72 3.32 "5"
"438" 4.24 5 11.44 9.54 "5"
"439" 6.78 2 9.86 10.35 "5"
"440" 6.3 6 9.82 6.38 "5"
"441" 4.54 3 11.39 5.76 "5"
"442" 6.72 2 9.94 10.15 "5"
"443" 5.54 3 11.64 11.1 "5"
"444" 5.06 4 13.58 7.24 "5"
"445" 3.16 1 14.64 9.32 "5"
"446" 5.8 1 9.67 8.94 "5"
"447" 5.43 7 12.63 6.03 "5"
"448" 5.67 3 10.34 6.62 "5"
"449" 4.76 7 10.92 6.83 "5"
"450" 7.08 0 8.06 6.45 "5"
"451" 7.9 1 13.37 7.18 "5"
"452" 3.52 1 14.69 8.81 "5"
"453" 6.82 6 8.69 9.53 "5"
"454" 5.27 2 9.9 7.49 "5"
"455" 7.3 0 12.24 9.61 "5"
"456" 5.1 2 8.46 3.29 "5"
"457" 4.46 2 16.43 11.78 "5"
"458" 5.02 5 9.28 9.36 "5"
"459" 6.97 2 16.8 7.38 "5"
"460" 5.73 0 12.41 5.7 "5"
"461" 7.67 11 9.97 8.59 "5"
"462" 4.44 3 8.62 7.13 "5"
"463" 8.07 4 12.03 9.13 "5"
"464" 4.54 1 12.5 6.69 "5"
"465" 7.84 9 12.7 6.62 "5"
"466" 4.86 5 14.4 4.37 "5"
"467" 5.78 2 12.62 7.41 "5"
"468" 5.25 7 16.35 6.34 "5"
"469" 6.21 7 10.56 10.36 "5"
"470" 5.63 8 9.08 6.76 "5"
"471" 4.98 1 10.46 11.1 "5"
"472" 5.89 0 14.31 8.16 "5"
"473" 3.83 2 12.39 6.95 "5"
"474" 4.9 0 13.44 5.42 "5"
"475" 6.69 2 13.25 6.36 "5"
"476" 5.5 8 10.02 12.19 "5"
"477" 6.55 1 10.12 7.27 "5"
"478" 5 4 9.55 3.23 "5"
"479" 3.83 2 13.46 10.26 "5"
"480" 5.42 1 8.21 11.67 "5"
"481" 6.68 0 16.35 6.66 "5"
"482" 5.57 4 12.99 6.52 "5"
"483" 5.39 3 13.58 8.25 "5"
"484" 5.63 0 13.91 7.95 "5"
"485" 4.72 3 12.26 8.93 "5"
"486" 6.06 5 9.87 7.25 "5"
"487" 3.53 4 12.33 8.68 "5"
"488" 6.26 2 11.43 5.5 "5"
"489" 6.61 7 12.4 8.54 "5"
"490" 6.03 0 8.8 8.72 "5"
"491" 6.18 2 9.96 6.34 "5"
"492" 5.17 1 9.9 7.6 "5"
"493" 6.03 1 9.16 9.57 "5"
"494" 6.54 4 7.89 5.49 "5"
"495" 4.6 1 12.69 11.72 "5"
"496" 5.59 0 8.19 7.67 "5"
"497" 6.75 3 12.55 9.39 "5"
"498" 6.08 7 7.91 6.64 "5"
"499" 6.13 0 10.36 10.85 "5"
"500" 7.07 3 12.78 9.28 "5"
"501" 7.57 23 9.22 9.98 "6"
"502" 4.57 6 8.22 7.5 "6"
"503" 4.11 1 10.54 4.65 "6"
"504" 4.03 1 13.38 8.96 "6"
"505" 5.56 1 10.69 6.43 "6"
"506" 4.19 2 8.35 7.77 "6"
"507" 3.16 0 10.3 5.63 "6"
"508" 6.13 7 11.64 9.87 "6"
"509" 2.54 4 12.65 7.37 "6"
"510" 3.4 4 7.81 8.13 "6"
"511" 2.94 4 11.85 8.53 "6"
"512" 4.31 1 15.81 8.26 "6"
"513" 2.63 4 11.66 5.83 "6"
"514" 4.69 7 12.41 7.61 "6"
"515" 3.63 7 18.75 8.86 "6"
"516" 4.7 3 14.08 12.6 "6"
"517" 2.95 1 10.27 6.74 "6"
"518" 5.86 1 11.59 12.1 "6"
"519" 3.32 3 12.76 4.76 "6"
"520" 5.09 2 10.87 9.41 "6"
"521" 4.59 4 11.26 6.17 "6"
"522" 2.9 6 12.2 6.6 "6"
"523" 6.95 7 13.13 8.55 "6"
"524" 4.47 7 13.89 6.85 "6"
"525" 5.08 5 10.64 8.58 "6"
"526" 4.81 7 11.87 5.35 "6"
"527" 4.62 2 10.46 10.41 "6"
"528" 3.68 1 12.11 5.6 "6"
"529" 9.05 6 9.34 7.48 "6"
"530" 5.65 1 13.63 7.38 "6"
"531" 2.43 2 10.81 10.28 "6"
"532" 4.38 0 9.61 5.25 "6"
"533" 7.3 4 8.36 10.27 "6"
"534" 3.46 0 14.65 9.7 "6"
"535" 3.35 4 12.96 7.47 "6"
"536" 4.28 3 12.43 8.88 "6"
"537" 3.24 4 14.42 8.41 "6"
"538" 4.02 1 10.98 6.87 "6"
"539" 5 2 11.46 9.4 "6"
"540" 2.63 0 14.29 10.03 "6"
"541" 3.39 5 13.46 8.38 "6"
"542" 3.78 0 13.37 8.69 "6"
"543" 5.04 2 13.98 5.56 "6"
"544" 5.21 0 14.19 11.06 "6"
"545" 4.32 1 12 5.42 "6"
"546" 4.92 0 11.79 9.79 "6"
"547" 4.11 0 11.04 6.29 "6"
"548" 4.6 4 13.76 8.42 "6"
"549" 5.02 8 11.76 5.38 "6"
"550" 6.27 7 12.44 12.82 "6"
"551" 4.15 4 11.44 7.47 "6"
"552" 4.34 6 12.16 10.29 "6"
"553" 4.61 2 16.34 6.7 "6"
"554" 4.63 0 10.15 7.27 "6"
"555" 4.76 4 11.69 7.91 "6"
"556" 3.42 3 9.32 6.78 "6"
"557" 2.75 9 12.04 5.38 "6"
"558" 5.88 1 9.45 7.16 "6"
"559" 4.35 8 12.71 9.18 "6"
"560" 3.53 0 12.62 4.05 "6"
"561" 4.17 0 11.31 12.03 "6"
"562" 3.37 0 15.2 4.99 "6"
"563" 4.29 1 9.35 8.14 "6"
"564" 2.95 1 11.39 7.21 "6"
"565" 6.11 0 8.32 10.34 "6"
"566" 4.76 4 9.66 8.9 "6"
"567" 5.94 8 11.53 8.45 "6"
"568" 3.53 3 13.45 6.87 "6"
"569" 4.62 14 9.48 6.93 "6"
"570" 2.56 2 9.77 12.45 "6"
"571" 1.92 1 10.94 3.54 "6"
"572" 3.05 0 11.51 11.48 "6"
"573" 4.62 11 12.66 6.26 "6"
"574" 6.1 4 10.09 9.51 "6"
"575" 6.44 0 12.29 9.45 "6"
"576" 3.51 8 15.8 10.43 "6"
"577" 3.73 0 13.64 5.98 "6"
"578" 3.31 3 10.71 10 "6"
"579" 3.05 1 8.99 8.57 "6"
"580" 4.01 1 14 10.39 "6"
"581" 2.59 2 17.25 9.23 "6"
"582" 4.19 1 10.74 7.98 "6"
"583" 3.05 5 13.76 4.8 "6"
"584" 5.66 6 12.94 6.79 "6"
"585" 3.13 1 14.6 5.35 "6"
"586" 4.54 3 12.19 7.95 "6"
"587" 5.73 2 11.31 4.66 "6"
"588" 4.18 1 11.74 5.6 "6"
"589" 5 1 9.6 11.65 "6"
"590" 2.13 3 11.96 7.35 "6"
"591" 4.23 6 13.52 6.73 "6"
"592" 4.5 1 10.25 7.14 "6"
"593" 5.04 1 15.56 10.14 "6"
"594" 4.23 2 9.7 3.54 "6"
"595" 4.08 5 8.11 9.6 "6"
"596" 6.03 3 13.47 7.31 "6"
"597" 2.84 10 13.68 2.28 "6"
"598" 5.11 1 11.75 13.81 "6"
"599" 3.74 5 11.38 5.53 "6"
"600" 1.55 0 12.55 8.24 "6"
"601" 4.44 1 13.05 6.72 "7"
"602" 6.45 2 9.07 11.81 "7"
"603" 6.5 4 12.02 8.77 "7"
"604" 2.89 1 12.03 7.11 "7"
"605" 6.11 3 10.51 13.1 "7"
"606" 6.79 5 11.68 12.2 "7"
"607" 3.91 1 12.11 8.28 "7"
"608" 4.34 2 10.35 6.27 "7"
"609" 4.19 3 7.97 5.59 "7"
"610" 4.57 3 10.47 9.01 "7"
"611" 5.53 11 12.14 10.9 "7"
"612" 4.68 12 8.01 9.42 "7"
"613" 5.18 1 12.15 7.81 "7"
"614" 4.8 5 9.55 6.38 "7"
"615" 6.1 7 10.4 7.78 "7"
"616" 6.35 1 14.04 7.23 "7"
"617" 4.9 0 14.85 9.29 "7"
"618" 6.05 2 13.98 8.7 "7"
"619" 6.13 7 11.94 8.6 "7"
"620" 6.14 0 14.49 7.79 "7"
"621" 5.62 3 12.36 9.47 "7"
"622" 4.3 2 15.31 5.98 "7"
"623" 3.65 3 14.22 9.54 "7"
"624" 6.97 11 13.5 5.8 "7"
"625" 4.73 0 11.76 7.51 "7"
"626" 4.61 4 12.45 11.25 "7"
"627" 4.56 0 12.57 6.97 "7"
"628" 4.37 13 10.73 7.69 "7"
"629" 5.13 1 9.43 8.17 "7"
"630" 4.13 15 13.57 7.82 "7"
"631" 7.23 12 10.72 10.68 "7"
"632" 5.03 1 12.61 7.11 "7"
"633" 4.9 1 11.56 7.84 "7"
"634" 5.12 1 13.19 5.51 "7"
"635" 6.31 1 11.84 8.04 "7"
"636" 7.02 10 10.21 7.74 "7"
